IncidentID,AgencyORI,AgencyName,IncidentStatusDesc,County,RdwyNumber,Street,RoadwayName,StreetSfx,StreetDir,IntersectionRdwy,IntersectionRdwyName,BetweenStRdwy1,BetweenStRdwyName1,BetweenStRdwy2,BetweenStRdwyName2,Latitude,Longitude,Milepoint,CollisionDate,CollisionTime,UnitsInvolved,MotorVehiclesInvolved,NumberKilled,NumberInjured,Weather,RdwyConditionCode,HitandRun,DirAnalysisCode,MannerofCollision,RdwyCharacter,LightCondition,RampFromRdwyId,RampToRdwyId,AcceptedDate,IsSecondaryCollision,OwnerBadge,IncidentStatus
28776311,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,24TH,ST,S,,CHESTNUT,,,,,38.25274365,-85.79191514,0.531,44459,2112,2,1,0,2,CLEAR,DRY,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,44469.34969,FALSE,5306,Accepted
28798550,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1020,,NATIONAL,TPKE,,,TOLLS,,,,,38.13561156,-85.75231654,4.278,44458,1723,2,1,1,0,RAINING,WET,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44475.34342,FALSE,7720,Accepted
28678813,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1865,,TAYLOR,BLVD,,,STRADER,,,,,38.19109918,-85.78331382,5.84,44458,2223,2,1,0,0,RAINING,WET,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,44459.35179,FALSE,5183,Accepted
28643036,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,GRANADA,DR,,,,,SEVILLE,,GRANADA,38.11331865,-85.85121857,0.224,44448,1914,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & HILLCREST,DAYLIGHT,,,44449.32045,FALSE,6318,Accepted
28635532,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,BELMAR,DR,,,,,,,,38.19479079,-85.72946033,0.013,44447,1144,2,1,0,1,CLOUDY,DRY,FALSE,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44448.33927,FALSE,4693,Accepted
28627243,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,LIBERTY,ST,E,,1ST,,,,,38.25251684,-85.75221502,0.001,44446,0634,2,1,0,0,CLEAR,DRY,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,44447.3392,FALSE,7386,Accepted
28607799,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,28TH,ST,S,,WOODLAND,,,,,38.23408722,-85.80062937,1.872,44442,0950,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44446.36037,FALSE,5253,Accepted
28594647,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1065,,OUTER,LOOP,,,JEFFERSON,,,,,38.13792505,-85.67515849,6.693,44441,1201,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44442.31721,FALSE,2324,Accepted
29901008,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,7123,GRADE,LN,,,,,,,,38.14252642,-85.73850772,3.102,44438,2105,2,1,1,0,RAINING,WET,TRUE,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/OFF,,,44656.34082,FALSE,7772,Accepted
28577458,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,GAST,BLVD,,KY2048,CANNONS,,,,,38.22415943,-85.65469046,0.005,44435,0753,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44438.36569,FALSE,6813,Accepted
28559136,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,GARLAND,AVE,,,28TH,,,,,38.24496253,-85.79907815,1.76,44432,1629,2,1,0,1,CLEAR,DRY,TRUE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44433.31196,FALSE,5032,Accepted
28554287,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0031E,,MAIN,ST,W,US0031W,2ND,,,,,38.25622208,-85.75321944,17.881,44431,1229,2,1,0,1,CLOUDY,DRY,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44432.31151,FALSE,7937,Accepted
28541558,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,GAST,BLVD,,KY2048,DUTCHMANS,,,,,38.22415843,-85.65468696,0.005,44428,0833,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44428.57979,FALSE,7570,Accepted
28540110,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,POPE LICK,RD,S,,,KY0155,TAYLORSVILLE,,REHL,38.19090173,-85.48696359,0.174,44427,1525,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44428.29863,FALSE,6878,Accepted
28531867,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,400,JEFFERSON,ST,E,,,,,,,38.25261361,-85.74536274,0.597,44423,1729,2,1,0,1,CLOUDY,DRY,TRUE,OTHER ROADWAY OR MID-BLOCK COLLISION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44426.30951,FALSE,7239,Accepted
28522046,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,26TH,ST,S,,MARKET,,,,,38.25949921,-85.79374753,0.087,44422,0143,2,1,0,1,CLEAR,DRY,TRUE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,44424.32085,FALSE,5306,Accepted
28522044,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,25TH,ST,N,KY3064,PORTLAND,,,,,38.27067441,-85.78886979,0.192,44421,2059,1,0,0,1,CLEAR,DRY,TRUE,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,44424.32078,FALSE,5306,Accepted
28495104,0560400,SHIVELY POLICE DEPARTMENT,Accepted,JEFFERSON,,,ARCADE,AVE,,KY1931,7TH ST,,,,,38.20975401,-85.78708593,0.59,44416,1448,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44419.74686,FALSE,7132,Accepted
28501362,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0031W,,DIXIE,HWY,,,,,ALANADALE,KY0907,VALLEY STATION,38.10815282,-85.86640127,8.673,44416,1209,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44421.32242,FALSE,2098,Accepted
28488526,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,30TH,ST,N,,CROP,,,,,38.26222064,-85.8005099,0.643,44416,1802,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44418.31245,FALSE,5124,Accepted
28448845,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0031E,,BARDSTOWN,RD,,,LUCIA,,,,,38.23700272,-85.71843026,15.254,44405,1518,2,1,0,1,CLEAR,DRY,TRUE,OTHER INTERSECTION COLLISIONS,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44407.3354,FALSE,5006,Accepted
28431065,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1931,,ST ANDREWS CHURCH,RD,,,PENNACOOK,,,,,38.15449822,-85.80283214,5.407,44403,2250,2,1,0,0,CLEAR,DRY,TRUE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,44404.33711,FALSE,5318,Accepted
28410086,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0150,,21ST,ST,N,US0031W,MAIN,,,,,38.25979717,-85.78464887,0.757,44400,1700,2,1,0,0,CLEAR,DRY,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44403.34249,FALSE,5108,Accepted
28409923,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,BROADWAY,,W,,,,34TH,,32ND,38.24985412,-85.80682253,1.014,44398,1820,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44403.33659,FALSE,7058,Accepted
28388930,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,JEFFERSON,ST,,,,,,,,38.19585994,-85.56625883,0.034,44395,1946,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44397.60847,FALSE,2738,Accepted
28383354,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY0146,,LA GRANGE,RD,,,LAKELAND,,,,,38.27022074,-85.55435109,4.03,44395,0855,2,1,0,1,CLOUDY,DRY,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44396.34308,FALSE,7316,Accepted
28383254,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1020,,SOUTHERN,PKWY,,,LANSING,,,,,38.19254087,-85.76674598,8.579,44393,1138,2,1,0,0,CLEAR,DRY,TRUE,OTHER INTERSECTION COLLISIONS,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44396.3387,FALSE,7251,Accepted
28383279,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,BOHNE,AVE,,,RUSSELL LEE,,,,,38.2288245,-85.81714684,0.015,44393,2150,2,1,0,0,RAINING,WET,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,CURVE & GRADE,DARK-HWY LIGHTED/OFF,,,44396.33968,FALSE,2186,Accepted
28440763,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0031W,,MARKET,ST,W,US0031E,3RD,,,,,38.25506397,-85.75507776,21.942,44393,1530,2,1,0,0,CLEAR,DRY,TRUE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,,DAYLIGHT,,,44405.3443,FALSE,7904,Accepted
28366374,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,LIBERTY,ST,E,,FLOYD,,,,,38.2522258,-85.74853842,0.196,44391,0216,2,1,0,1,CLEAR,WET,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,,,44391.35252,FALSE,5331,Accepted
28366368,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0031E,,MARKET,ST,E,,1ST,,,,,38.25472251,-85.75190064,17.663,44390,2240,2,1,0,0,CLEAR,DRY,TRUE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44391.3522,FALSE,5295,Accepted
28358011,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY0061,,PRESTON,HWY,,,,,,,,38.15491431,-85.69594379,5.193,44388,1400,2,1,0,1,CLEAR,DRY,TRUE,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44389.36241,FALSE,7449,Accepted
28403389,0560400,SHIVELY POLICE DEPARTMENT,Accepted,JEFFERSON,,,OEHRLE,DR,,US0031W,DIXIE,,,,,38.19797924,-85.80421192,0.004,44388,1356,2,1,0,0,CLOUDY,DRY,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44401.01607,FALSE,7107,Accepted
28357948,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,3100,RIVER,RD,,,,,,,,38.28071243,-85.69456457,0.163,44387,0605,2,1,0,1,RAINING,WET,FALSE,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAWN,,,44389.35972,FALSE,7219,Accepted
28343789,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,GAULBERT,AVE,W,KY1020,3RD,,,,,38.22451396,-85.76048057,0.091,44384,1914,2,1,0,0,CLOUDY,DRY,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DUSK,,,44385.34603,FALSE,5180,Accepted
28340367,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0060A,,EASTERN,PKWY,,KY0061,SHELBY,,,,,38.21483697,-85.74264939,4.582,44381,1822,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44384.52186,FALSE,7257,Accepted
28343801,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,2907,MARKET,ST,W,,29TH,,,,,38.2600609,-85.79897838,0.688,44381,2127,2,1,0,1,CLEAR,DRY,TRUE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DUSK,,,44385.3464,FALSE,5295,Accepted
28343810,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0031W,,DIXIE,HWY,,,SPEEDWAY,,,,,38.11762377,-85.8588394,9.446,44381,1820,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44385.34656,FALSE,5170,Accepted
28357958,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1020,,3RD,ST,S,,,,,,,38.22121595,-85.76126198,10.441,44380,0300,2,1,0,1,CLEAR,DRY,TRUE,OTHER ROADWAY OR MID-BLOCK COLLISION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,44389.36025,FALSE,7040,Accepted
28334732,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,CRAIG,AVE,,,BICKNELL,,,,,38.18363195,-85.78997096,0.655,44380,0114,2,1,0,1,CLEAR,DRY,TRUE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,44383.37058,FALSE,5284,Accepted
28334750,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY0864,,FEGENBUSH,LN,,,NORLYNN,,,,,38.14504629,-85.62776646,5.18,44380,2104,2,1,0,0,CLEAR,DRY,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DUSK,,,44383.37157,FALSE,5014,Accepted
28334714,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0031W,,DIXIE,HWY,,,MILLERS,,,,,38.21463371,-85.79564285,17.084,44379,0739,2,1,0,0,CLOUDY,DRY,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44383.36938,FALSE,7720,Accepted
28313792,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,1307,CLARA,AVE,,,,,,,,38.19976102,-85.78328067,0.035,44375,1800,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44377.36514,FALSE,7298,Accepted
28321969,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,SOUTHERN,PKWY,,,BROOKLINE,,,,,38.17664164,-85.77231432,0.432,44373,1156,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44379.35058,FALSE,7963,Accepted
28278403,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1020,,3RD,ST,S,US0060A,WINKLER,,,,,38.21008989,-85.76305945,9.861,44367,2315,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,44368.35619,FALSE,5319,Accepted
28278269,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,HANCOCK,ST,S,,LIBERTY,,,,,38.25090724,-85.74254502,0.288,44365,1828,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44368.3507,FALSE,7239,Accepted
28260640,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1020,8405,NATIONAL,TPKE,,,,,,,,38.12716563,-85.74895744,3.675,44362,1615,2,1,0,1,CLEAR,DRY,FALSE,COLLISION IN PARKING LOT,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44363.35624,FALSE,7483,Accepted
28251625,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,3RD,ST,S,,WELLINGTON,,,,,38.18389061,-85.76582782,1.153,44360,1841,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44361.37751,FALSE,5367,Accepted
28251606,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,34TH,ST,N,,DUNCAN,,,,,38.26485284,-85.80639797,0.531,44360,1405,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44361.37515,FALSE,5282,Accepted
28242236,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY0864,4930,POPLAR LEVEL,RD,,,,,,,,38.16646237,-85.68089539,8.806,44357,2035,2,1,0,1,CLEAR,DRY,FALSE,COLLISION IN PARKING LOT,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44358.37277,FALSE,5342,Accepted
28242206,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0060A,,BERRY,BLVD,,,GEORGETOWN,,,,,38.19661736,-85.79336075,0.895,44356,1920,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44358.3719,FALSE,7298,Accepted
28225363,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,7TH,ST,S,,,,,,,38.2197397,-85.7778366,0.021,44352,0043,2,1,0,1,CLEAR,DRY,TRUE,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,44354.40725,FALSE,5239,Accepted
28225340,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0150,,BROADWAY,,W,KY1020,2ND,,,,,38.24582838,-85.75506388,2.559,44351,1434,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44354.40627,FALSE,7239,Accepted
28215240,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0060A,,WINKLER,AVE,,,4TH,,,,,38.21033116,-85.76466038,3.072,44350,1147,2,1,0,1,RAINING,WET,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44351.38003,FALSE,2745,Accepted
28309371,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0031W,7600,DIXIE,HWY,,,,,,,,38.14291255,-85.8399874,11.64,44349,0151,3,1,1,1,RAINING,WET,FALSE,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,,,44376.37492,FALSE,2217,Accepted
28212979,0560400,SHIVELY POLICE DEPARTMENT,Accepted,JEFFERSON,,,HILLSIDE,DR,,,,KY2051,ROCKFORD,,KLAGES,38.17552429,-85.82583845,0.008,44349,1401,2,1,0,1,RAINING,WET,FALSE,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44350.838,FALSE,7124,Accepted
28200980,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,MARKET,ST,W,,,,32ND,,30TH,38.26059998,-85.80393128,0.96,44347,1700,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & HILLCREST,DAYLIGHT,,,44348.40047,FALSE,7463,Accepted
28173265,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1747,3215,FERN VALLEY,RD,,,,,,,,38.15704546,-85.70497155,1.495,44340,1809,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44341.36204,FALSE,5336,Accepted
28168070,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,FLOYD,ST,S,,,,JACOB,,COLLEGE,38.24351078,-85.75002665,0.847,44339,2136,2,1,0,0,CLEAR,DRY,FALSE,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,44340.39921,FALSE,5204,Accepted
28167984,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,HANCOCK,ST,S,US0150,BROADWAY,,,,,38.2450422,-85.74360737,0.693,44337,0708,2,1,0,1,CLEAR,DRY,TRUE,COLLISION WITH PEDESTRIAN IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DUSK,,,44340.39537,FALSE,5135,Accepted
28153840,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,MUHAMMAD ALI,BLVD,W,,24TH,,,,,38.25500126,-85.7914945,2.133,44335,1713,2,1,0,0,CLEAR,DRY,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44336.3651,FALSE,7805,Accepted
28144979,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,STRAWBERRY,LN,,,EILER,,,,,38.16529151,-85.75480214,0.731,44334,0325,2,1,0,1,CLEAR,DRY,TRUE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,,,44334.41703,FALSE,7362,Accepted
28153853,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,1833,RIVER,RD,,,,,,,,38.26769353,-85.71687151,1.754,44329,2232,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,,,44336.36563,FALSE,5243,Accepted
28128338,0560400,SHIVELY POLICE DEPARTMENT,Accepted,JEFFERSON,KY1931,,7TH ST,RD,,,,,OLEANDA,,ARCADE,38.20935347,-85.78717033,9.609,44329,1333,2,1,0,1,CLEAR,DRY,TRUE,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44329.83856,FALSE,7105,Accepted
28130402,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1447,,WESTPORT,RD,,,KENNERSLEY,,,,,38.28290525,-85.5848589,4.458,44329,1023,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44330.37909,FALSE,7313,Accepted
28130454,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,7211,RIVER,RD,,,,,,,,38.3381739,-85.62657179,5.951,44328,2244,1,0,0,1,CLEAR,DRY,TRUE,OTHER ROADWAY OR MID-BLOCK COLLISION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,,,44330.38095,FALSE,5056,Accepted
28121375,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,KENT,RD,,,,,,,,38.22180871,-85.65955919,0.031,44327,1629,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44328.34197,FALSE,5354,Accepted
28225429,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1932,,BRECKENRIDGE,LN,,,BERKSHIRE,,,,,38.2224753,-85.63269116,3.065,44327,0040,2,1,0,1,OTHER,DRY,FALSE,COLLISION WITH BICYCLE IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK (UNKNOWN ROADWAY LIGHTING),,,44354.41174,FALSE,5153,Accepted
28084052,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0060A,1540,BERRY,BLVD,,,,,,,,38.19659194,-85.79084908,1.038,44318,0112,2,1,0,1,CLEAR,DRY,TRUE,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,44319.40179,FALSE,5205,Accepted
28083967,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,GILMORE,LN,,,,,HELCK,,CRAFTY,38.17625792,-85.7103383,0.176,44316,1719,2,1,0,0,CLEAR,DRY,FALSE,COLLISION WITH BICYCLIST NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,44319.39525,FALSE,7451,Accepted
